product-id,product-name,ext-prim-category-id,primary-product-category-id,categories,remove-from-categories,product-sku,parent-product-sku,position,short-description,long-description,list-price,hsn-code,start-selling-date,is-serialized,is-digital,product-type,weight,weight-uom-id,height,width,depth,dimension-uom-id,product-url-name,publish,sales-channel,bar-code,MPN,currency-uom-id,features,features-options,good-identifications,attributes,brand-name,image,additional-images,charge-shipping,shipping-weight,tags,remove-tags,taxable,comments
,Order Protection - $12.70,,,,,Order Protection24,julep-7325049683991,25,,,12.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$12.70,SHOPIFY_PROD_ID:41643225579543,,Julep,,,,,,,,
,Order Protection - $13.20,,,,,Order Protection25,julep-7325049683991,26,,,13.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$13.20,SHOPIFY_PROD_ID:41643225612311,,Julep,,,,,,,,
,Order Protection - $13.70,,,,,Order Protection26,julep-7325049683991,27,,,13.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$13.70,SHOPIFY_PROD_ID:41643225645079,,Julep,,,,,,,,
,Order Protection - $14.20,,,,,Order Protection27,julep-7325049683991,28,,,14.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$14.20,SHOPIFY_PROD_ID:41643225677847,,Julep,,,,,,,,
,Order Protection - $14.70,,,,,Order Protection28,julep-7325049683991,29,,,14.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$14.70,SHOPIFY_PROD_ID:41643225710615,,Julep,,,,,,,,
,Order Protection - $15.20,,,,,Order Protection29,julep-7325049683991,30,,,15.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$15.20,SHOPIFY_PROD_ID:41643225743383,,Julep,,,,,,,,
,Order Protection - $15.70,,,,,Order Protection30,julep-7325049683991,31,,,15.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$15.70,SHOPIFY_PROD_ID:41643225776151,,Julep,,,,,,,,
,Order Protection - $16.20,,,,,Order Protection31,julep-7325049683991,32,,,16.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$16.20,SHOPIFY_PROD_ID:41643225808919,,Julep,,,,,,,,
,Order Protection - $16.70,,,,,Order Protection32,julep-7325049683991,33,,,16.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$16.70,SHOPIFY_PROD_ID:41643225841687,,Julep,,,,,,,,
,Order Protection - $17.20,,,,,Order Protection33,julep-7325049683991,34,,,17.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$17.20,SHOPIFY_PROD_ID:41643225874455,,Julep,,,,,,,,
